- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Boundary Element Method - Elasticity Problem
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

numberOfExternalNodes: 100
numberOfInternalNodes: 0
nodesPerElement: 2
numberOfElements: 95
displacements: 0
forces: 0

- - - - - - - - -
Nodes coordinates
- - - - - - - - -
node, x, y
0, 100.000000000, 0.000000000
1, 110.000000000, 0.000000000
2, 120.000000000, 0.000000000
3, 130.000000000, 0.000000000
4, 140.000000000, 0.000000000
5, 150.000000000, 0.000000000
6, 160.000000000, 0.000000000
7, 170.000000000, 0.000000000
8, 180.000000000, 0.000000000
9, 190.000000000, 0.000000000
10, 200.000000000, 0.000000000
11, 210.000000000, 0.000000000
12, 220.000000000, 0.000000000
13, 230.000000000, 0.000000000
14, 240.000000000, 0.000000000
15, 250.000000000, 0.000000000
16, 250.000000000, 0.000000000
17, 250.000000000, 10.000000000
18, 250.000000000, 20.000000000
19, 250.000000000, 30.000000000
20, 250.000000000, 40.000000000
21, 250.000000000, 50.000000000
22, 250.000000000, 60.000000000
23, 250.000000000, 70.000000000
24, 250.000000000, 80.000000000
25, 250.000000000, 90.000000000
26, 250.000000000, 100.000000000
27, 250.000000000, 110.000000000
28, 250.000000000, 120.000000000
29, 250.000000000, 130.000000000
30, 250.000000000, 140.000000000
31, 250.000000000, 150.000000000
32, 250.000000000, 160.000000000
33, 250.000000000, 170.000000000
34, 250.000000000, 180.000000000
35, 250.000000000, 190.000000000
36, 250.000000000, 200.000000000
37, 250.000000000, 210.000000000
38, 250.000000000, 220.000000000
39, 250.000000000, 230.000000000
40, 250.000000000, 240.000000000
41, 250.000000000, 250.000000000
42, 250.000000000, 250.000000000
43, 240.000000000, 250.000000000
44, 230.000000000, 250.000000000
45, 220.000000000, 250.000000000
46, 210.000000000, 250.000000000
47, 200.000000000, 250.000000000
48, 190.000000000, 250.000000000
49, 180.000000000, 250.000000000
50, 170.000000000, 250.000000000
51, 160.000000000, 250.000000000
52, 150.000000000, 250.000000000
53, 140.000000000, 250.000000000
54, 130.000000000, 250.000000000
55, 120.000000000, 250.000000000
56, 110.000000000, 250.000000000
57, 100.000000000, 250.000000000
58, 90.000000000, 250.000000000
59, 80.000000000, 250.000000000
60, 70.000000000, 250.000000000
61, 60.000000000, 250.000000000
62, 50.000000000, 250.000000000
63, 40.000000000, 250.000000000
64, 30.000000000, 250.000000000
65, 20.000000000, 250.000000000
66, 10.000000000, 250.000000000
67, 0.000000000, 250.000000000
68, 0.000000000, 250.000000000
69, 0.000000000, 240.000000000
70, 0.000000000, 230.000000000
71, 0.000000000, 220.000000000
72, 0.000000000, 210.000000000
73, 0.000000000, 200.000000000
74, 0.000000000, 190.000000000
75, 0.000000000, 180.000000000
76, 0.000000000, 170.000000000
77, 0.000000000, 160.000000000
78, 0.000000000, 150.000000000
79, 0.000000000, 140.000000000
80, 0.000000000, 130.000000000
81, 0.000000000, 120.000000000
82, 0.000000000, 110.000000000
83, 0.000000000, 100.000000000
84, 0.000000000, 100.000000000
85, 6.666666667, 93.333333333
86, 13.333333333, 86.666666667
87, 20.000000000, 80.000000000
88, 26.666666667, 73.333333333
89, 33.333333333, 66.666666667
90, 40.000000000, 60.000000000
91, 46.666666667, 53.333333333
92, 53.333333333, 46.666666667
93, 60.000000000, 40.000000000
94, 66.666666667, 33.333333333
95, 73.333333333, 26.666666667
96, 80.000000000, 20.000000000
97, 86.666666667, 13.333333333
98, 93.333333333, 6.666666667
99, 100.000000000, 0.000000000

- - - - - - - - - - - - - - 
Internal points coordinates
- - - - - - - - - - - - - - 
node, x, y

- - - - - - - -
Elements nodes 
- - - - - - - -
element, x, y
0, 0, 1
1, 1, 2
2, 2, 3
3, 3, 4
4, 4, 5
5, 5, 6 
6, 6, 7 
7, 7, 8 
8, 8, 9 
9, 9, 10
10, 10, 11
11, 11, 12
12, 12, 13
13, 13, 14
14, 14, 15
15, 16, 17
16, 17, 18
17, 18, 19
18, 19, 20
19, 20, 21
20, 21, 22
21, 22, 23
22, 23, 24
23, 24, 25
24, 25, 26
25, 26, 27
26, 27, 28
27, 28, 29
28, 29, 30
29, 30, 31
30, 31, 32
31, 32, 33
32, 33, 34
33, 34, 35
34, 35, 36
35, 36, 37
36, 37, 38
37, 38, 39
38, 39, 40
39, 40, 41
40, 42, 43
41, 43, 44
42, 44, 45
43, 45, 46
44, 46, 47
45, 47, 48
46, 48, 49
47, 49, 50
48, 50, 51
49, 51, 52
50, 52, 53
51, 53, 54
52, 54, 55
53, 55, 56
54, 56, 57
55, 57, 58
56, 58, 59
57, 59, 60
58, 60, 61
59, 61, 62
60, 62, 63
61, 63, 64
62, 64, 65
63, 65, 66
64, 66, 67
65, 68, 69
66, 69, 70
67, 70, 71
68, 71, 72
69, 72, 73
70, 73, 74
71, 74, 75
72, 75, 76
73, 76, 77
74, 77, 78
75, 78, 79
76, 79, 80
77, 80, 81
78, 81, 82
79, 82, 83
80, 84, 85
81, 85, 86
82, 86, 87
83, 87, 88
84, 88, 89
85, 89, 90
86, 90, 91
87, 91, 92
88, 92, 93
89, 93, 94
90, 94, 95
91, 95, 96
92, 96, 97
93, 97, 98
94, 98, 99

- - - - - - - - - - - - - - - -
Displacements 
- - - - - - - - - - - - - - - -
element, dispX, dispY

- - - - - - - - - - - - - - - -
Forces 
- - - - - - - - - - - - - - - -
element, dispX, dispY

- - - - - - - - -
Materials
- - - - - - - - -
youngModulus, poisson
200, 0.3
